company_name,company_phone,company_website,company_type,company_city,company_state,company_streetCode,company_street
Barley POP! Brewing,(360) 610-6843,Nil,Micro,Marysville,Washington,WA,4715 86th pl ne
El Cid Brewing Company,6198928261,www.elcidbrewing.com,Micro,San Diego,California,CA,2911 El Cajon Blvd # 2
TOCCOA BREWING COMPANY,(678) 577-2122,Nil,Brewery In Planning,GRIFFIN,Georgia,GA,100 BEASLEY ROAD
Trap Door Whistle Stop Pub,(503) 758-2569,Nil,Brewpub,Washougal,Washington,WA,1834 Main St
Inner Groove Brewing,(412) 828-1351,www.innergroovebrewing.com/pittsburgh,Location,Pittsburgh,Pennsylvania,PA,827 E. WARRINGTON AVE.
"Brewery in Planning - Oxford, MI",Nil,Nil,Brewery In Planning,Oxford,Michigan,MI,222 Nicklas Ct
"Brewery in Planning - Brownwood , TX",(325) 642-5033,Nil,Brewery In Planning,Brownwood,Texas,TX,320 Riverside Park Drive
Pratt Brewing Company,Nil,http://www.prattbrewing.com/,Micro,Spring Grove,Illinois,IL,2025 Main Street Rd
Lavelle Brewing,(973) 945-6121,Nil,Brewery In Planning,Huntsville,Alabama,AL,11515 Gilleland Dr
"Brewery in Planning - Vienna, VA",Nil,Nil,Brewery In Planning,Vienna,Virginia,VA,2671 Avenir Pl Apt 1542
"Brewery in Planning - Windham, ME",(207) 318-1809,Nil,Brewery In Planning,Windham,Maine,ME,5 Leeward Pass
"Brewery in Planning - windsor, CT",(772) 538-7037,Nil,Brewery In Planning,windsor,Connecticut,CT,89 kendrick lane
Watsonville Public House,Nil,https://watsonville.pub/,Taproom,Watsonville,California,CA,625 Main St
NoFo Brew Co,(678) 771-8116,https://www.nofobrew.co/locations/gainesville/,Taproom,Gainesville,Georgia,GA,434 High St SW
Scofflaw Brewing Co - Midcity Yards,(404) 915-3392,Nil,Taproom,Columbus,Georgia,GA,1421 6th Ave
"Newville Brewing Company, INC",(530) 521-1722,www.newvillebrewing.com,Brewery In Planning,Orland,California,CA,329 Yolo St
"Brewery in Planning - Chelan, WA",(847) 980-0543,Nil,Brewery In Planning,Chelan,Washington,WA,15134 South Lakeshore rd
Clendenin Brewing Company,Nil,Nil,Brewpub,Clendenin,West Virginia,WV,2 Main St
Grove Cartel Brewing Co.,(980) 643-1961,https://thegrovecartel.com/,Taproom,China Grove,North Carolina,NC,211 N Main St
Wyrd Sisters Brewing LLC,(901) 361-1171,wyrdsisters.beer,Brewery In Planning,North Charleston,South Carolina,SC,4840 Chateau Ave
Remlinger Brewing,(206) 250-9213,remlingerfarms.com,Brewpub,Carnation,Washington,WA,32610 NE 32nd St
Mizun,13 (806) 136-448,Nil,Brewery In Planning,Suzhou,Jiangsu,32,Donglindu 147-1
Modest Roots Brewing Co.,Nil,www.modestrootsbrewing.com,Micro,Tyngsborough,Massachusetts,MA,3 Industrial Way
Kové,(619) 318-7650,www.drinkkove.com,NonBeer,San Diego,California,CA,9030 Kenamar Dr
BridgeWay Brewing Company,(864) 688-2106,https://bridgewaybrewing.com/,Brewpub,Mauldin,South Carolina,SC,610 BridgeWay Blvd
"Brewery in Planning - Gulf Breeze, FL",(978) 985-8343,Nil,Brewery In Planning,Gulf Breeze,Florida,FL,6196 Jenks Drive
Amber Ox Public House,(757) 808-5104,https://www.restaurantji.com/va/williamsburg/amber-ox-public-house-/,Location,Williamsburg,Virginia,VA,525 Prince George St.
Coastline Brewing Company,8606645185,www.coastlinebrewingco.com,Taproom,WESTBROOK,Connecticut,CT,"4 Grove Beach Rd North
unit 1C"
"Brewery in Planning - Durham, NC",(828) 551-1409,Nil,Brewery In Planning,Durham,North Carolina,NC,1016 Holly Hill Dr
Mindscape Fermentations,(916) 672-6462,Www.mindscapefermentations.com,Taproom,Rocklin,California,CA,5424 Crossings Dr
Peaceful Arts Ales and Lagers,(508) 212-2345,Nil,Brewery In Planning,High Springs,Florida,FL,19110 NW 218th Ave
The Borough Beer Co. & Kitchen,Nil,www.theboroughmadison.com,Brewpub,Madison,Wisconsin,WI,444 S Park St
Ogle County Brewery - Oregon Theater,Nil,Nil,Brewery In Planning,Oregon,Illinois,IL,110 N 4th St
Cervecería Agelán Rodríguez SRL,Nil,www.cerveceriaagelanrodriguez.com,Brewery In Planning,Santiago,,,"Carretera Luperon no. 23, Primer nivel,"
Lesser Known Beer Co,Nil,www.lesserknownbeer.com,Taproom,Winston Salem,North Carolina,NC,901 S Broad St
"Rainbow Hills Winery, Brewpub & Pizzeria",740-545-9305,www.rainbowhillswinery.com,Brewpub,Newcomerstown,Ohio,OH,26349 Township Rd 251
Backcountry Winery & Brewery,515-257-6739,www.backcountrywinery.com,Taproom,Stratford,Iowa,IA,3533 Fenton Ave
Apoptosis Brewing Company,(269) 459-1057,www.apoptosisbrewing.com,Taproom,Kalamazoo,Michigan,MI,3811 S Westnedge Ave
Barker Brewhouse,(812) 437-5079,www.barkerbrewhouse.com,Taproom,Evansville,Indiana,IN,96 N Barker Ave
The Granary,Nil,www.thegranaryiowa.com,Brewpub,Eldridge,Iowa,IA,219 North 1st St
The Grange Public House and Brewery,(319) 385-3121,www.grangepublichouse.com,Brewpub,Mount Pleasant,Iowa,IA,129 S Jefferson St
Gamble Block Brewery,5152501767,Nil,Taproom,Perry,Iowa,IA,1203 2nd St
Breu Haus,Nil,Nil,Taproom,Sheldon,Iowa,IA,1220 2nd Ave
Somerset Brewing Company,(516) 447-6983,www.somersetbrewing.com,Taproom,West Hempstead,New York,NY,94C Cherry Valley Ave
North Branch Brewing Co,(304) 790-7125,Nil,Brewpub,Keyser,West Virginia,WV,101 Armstrong St
Cara palida beer,(954) 937-0242,Carapalidabeer.com,Brewery In Planning,Hallandale Beach,Florida,FL,205 NE 1st Ave
The Black Skull Brewery. LLC,(404) 791-6663,www.theblackskullbrewery.com,Brewery In Planning,East Point,Georgia,GA,1333 Womack Ave
Howdy Beer LLC,(720) 443-3007,Nil,Beer Brand,Lafayette,Colorado,CO,105 W Emma St
Chubby Mermaid Brewing Co.,12072812454,chubbymermaidbrewing.com,Brewery In Planning,Bonita Springs,Florida,FL,28292 Industrial Rd Unit 1
Spirit of '36 Brewing Company,(940) 447-4559,Nil,Brewery In Planning,Haskell,Texas,TX,806 N 8th St
Fallston Barrel House,(410) 808-9033,fallstonbarrelhouse.com,Brewery In Planning,Fallston,Maryland,MD,2403 Bel Air Rd
George Lopez Brewing Co,Nil,Nil,Beer Brand,Torrance,California,CA,21770 Del Amo Circle E
"Brewery in Planning - Souderton, PA",(818) 400-7323,Nil,NonBeer,Souderton,Pennsylvania,PA,59 Green Street
Benton County Brewing Company,(319) 434-2739,www.bentoncountybrewingcompany.com,Taproom,Belle Plaine,Iowa,IA,708 12th St
ReUnion Brewery - The Juice Factory,(319) 337-3000,Nil,Micro,Iowa City,Iowa,IA,2319 Heinz Rd
Charleston Nano Brewery,Nil,www.charlestonnano.com,Taproom,Charleston,West Virginia,WV,320 W Washington St
Hawk Mountain Brewery,(484) 885-3609,www.hawkMountainBrewery.com,Brewpub,Whitehall,Pennsylvania,PA,3530 Lehigh Street
Lake Time Brewery Production Facility,(641) 357-2040,Nil,Micro,Clear Lake,Iowa,IA,2401 Main Ave
Hard Bottom Brewing,(130) 587-9867,hardbottombrewing.com,Brewery In Planning,Marathon,Florida,FL,6501 Oceanview Ave
Lawn Chair Brewing Company,7047075157,www.lawnchairbrewing.com,Brewery In Planning,Concord,North Carolina,NC,339 Eastover Dr.
Alestone Brewing,(321) 972-8575,www.alestonebrewing.com,Brewpub,Longwood,Florida,FL,351 N Ronald Reagan Blvd Ste 1055
Lebanon Brewing Co.,(440) 242-5153,lebanonbrewingco.com,Brewpub,Lebanon,Ohio,OH,20 W. Silver St.
Austin Craft Brewing Company,(512) 337-2728,austincraftbrew.com,Taproom,Austin,Texas,TX,4700 Burleson Road Ste G
Scythe Brewing Company,(360) 560-9007,www.scythebrewing.com,Brewpub,Longview,Washington,WA,"1217 3rd Avenue, Suite 150"
